id,tic_mail,password
1,tic.andc@du.ac.in,pass101
2,tic.arsd@du.ac.in,pass102
3,tic.bncw@du.ac.in,pass103
4,tic.bcw@du.ac.in,pass104
5,tic.bcas@du.ac.in,pass105
6,tic.covs@du.ac.in,pass106
7,tic.dduc@du.ac.in,pass107
8,tic.dcoac@du.ac.in,pass108
9,tic.dbc@du.ac.in,pass109
10,tic.ramanujan@du.ac.in,pass110
11,tic.dsc@du.ac.in,pass111
12,tic.dsce@du.ac.in,pass112
13,tic.gcw@du.ac.in,pass113
14,tic.hc@du.ac.in,pass114
15,tic.icfw@du.ac.in,pass115
16,tic.jdmcw@du.ac.in,pass116
17,tic.jmcw@du.ac.in,pass117
18,tic.kcw@du.ac.in,pass118
19,tic.km@du.ac.in,pass119
20,tic.kmc@du.ac.in,pass120
21,tic.lsrcw@du.ac.in,pass121
22,tic.lc@du.ac.in,pass122
23,tic.mac@du.ac.in,pass123
24,tic.mcw@du.ac.in,pass124
25,tic.mscfw@du.ac.in,pass125
26,tic.mhw@du.ac.in,pass126
27,tic.mnc@du.ac.in,pass127
28,tic.pgdav@du.ac.in,pass128
29,tic.rc@du.ac.in,pass129
30,tic.rlac@du.ac.in,pass130
31,tic.ac@du.ac.in,pass131
32,tic.srcoasw@du.ac.in,pass132
33,tic.sscbs@du.ac.in,pass133
34,tic.sgtbkc@du.ac.in,pass134
35,tic.sc@du.ac.in,pass135
36,tic.slc@du.ac.in,pass136
37,tic.slce@du.ac.in,pass137
38,tic.spmcw@du.ac.in,pass138
39,tic.sac@du.ac.in,pass139
40,tic.sggscoc@du.ac.in,pass140
41,tic.svc@du.ac.in,pass141
42,tic.stsc@du.ac.in,pass142
43,tic.swamisc@du.ac.in,pass143
44,tic.vcw@du.ac.in,pass144
45,tic.sol@du.ac.in,pass145
